RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
"2,776","3,525","2,402",14,2,1,3,1,30,392,55,3,3,7:30 AM,9:50 AM,3,8,,,,,6,10,,,,,,2,2,2,1,2,1,1,4,6,6,4,4,5,6,6,5,6,6,6,6,6,4,,,,4,6,6,6,4,4,,,,5,1,,,2,2,2,2,1,,,,5,4,5,5,2,,,,3,MINNEAPOLIS,"55,422",US,11,3,1,1,2,2,2,1,0.55367500000000003
"2,777","3,526","2,402",14,2,1,3,1,30,392,55,3,3,6:00 AM,9:50 AM,3,8,,,,,2,10,,,,,,1,2,1,2,1,4,1,4,5,4,5,0,4,4,6,6,3,6,5,6,6,5,35,,,5,6,6,6,6,5,,,,5,2,,,2,2,1,2,2,,,,1,4,5,3,2,,,,1,OAKLAND,"94,607",US,3,3,2,1,2,2,1,1,0.55367500000000003
"2,778","3,527","2,402",14,2,1,3,1,30,392,55,3,3,7:30 AM,9:50 AM,3,8,,,,,2,10,,,,,,2,1,1,1,3,4,1,3,4,2,5,5,5,6,6,5,3,6,4,6,6,4,230,,,5,5,6,6,5,5,,,,5,6,,,2,2,2,2,1,,,,1,2,5,5,2,,,,1,ALAMEDA,"94,501",US,3,4,2,3,2,2,1,1,0.55367500000000003
"2,779","3,528","2,402",14,2,1,3,1,30,392,55,3,3,8:00 AM,9:50 AM,2,8,,,,,5,10,,,,,,2,1,2,2,3,2,1,5,6,5,4,5,5,6,6,5,5,6,4,6,6,5,,,,5,5,6,6,5,5,,,,5,5,,,1,2,2,2,1,,,,5,5,4,5,2,,,,3,MINNEAPOLIS,"55,102",US,11,3,2,2,2,2,1,1,0.55367500000000003
"2,780","3,529","2,402",14,2,1,3,1,30,392,55,3,3,8:15 AM,9:50 AM,3,8,,,,,7,10,,,,,,1,2,2,2,1,1,1,5,6,6,4,4,4,6,6,6,6,6,6,6,6,4,270,,,4,6,6,6,6,5,,,,4,1,,,2,2,2,2,2,,,,5,4,5,5,2,,,,3,STERLING,"20,164",US,12,5,2,1,2,2,2,1,0.55367500000000003
"2,781","3,530","2,402",14,2,1,3,1,30,392,55,3,3,5:00 AM,9:50 AM,3,8,,,,,2,10,,,,,,2,2,1,2,1,3,1,4,6,6,4,4,4,6,6,6,4,6,6,6,6,4,911,,,5,6,6,6,5,5,,,,4,2,,,2,2,2,2,2,,,,24,3,5,2,2,,,,3,MINNEAPOLIS,"55,119",US,11,3,1,1,2,2,2,1,0.55367500000000003
"2,782","3,531","2,402",14,2,1,3,1,30,392,55,3,3,8:10 AM,9:50 AM,3,8,,,,,12,10,,,,,,2,2,1,1,3,4,1,5,4,4,4,4,4,6,6,4,4,6,4,6,4,4,216,,,4,4,6,4,4,4,,,,5,2,,,2,2,2,2,1,,,,1,3,5,5,2,,,,1,LIVERMORE,"94,550",US,3,7,2,4,2,1,2,1,0.55367500000000003
"2,783","3,532","2,402",14,2,1,3,1,30,392,55,3,3,7:15 AM,9:50 AM,3,8,,,,,2,10,,,,,,1,1,1,0,1,4,2,4,4,4,4,4,4,4,4,4,4,6,0,4,6,4,,,,4,6,6,4,4,4,,,,4,,,,3,3,3,3,3,,,,9,4,5,5,2,,,,1,SEBASTOPOL,"95,472",US,7,6,2,2,2,2,2,1,0.55367500000000003
"2,784","3,533","2,402",14,2,1,3,1,30,392,55,3,3,7:15 AM,9:50 AM,3,8,,,,,2,10,,,,,,1,2,1,2,1,4,2,6,4,4,4,4,4,6,6,6,5,6,6,6,6,4,,,,4,6,6,4,5,4,,,,5,,,,2,2,2,2,2,,,,9,5,4,5,2,,,,1,SEBASTOPOL,"95,472",US,7,7,1,2,2,2,2,1,0.55367500000000003
"2,785","3,534","2,402",14,2,1,3,1,30,392,55,3,3,6:00 AM,9:50 AM,2,8,,,,,2,10,,,,,,2,2,1,2,1,1,2,4,4,4,5,5,5,4,4,6,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,2,,,,4,6,5,5,2,,,,3,ROCHESTER,"55,901",US,11,4,1,2,2,2,2,1,0.55367500000000003
