RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
1,1,"1,215",2,12,1,1,1,21,"1,437",49,1,1,8:34 AM,9:25 AM,1,8,,,,,2,10,,,,,,2,1,2,2,6,2,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,4,4,,,,5,1,,,2,2,2,2,2,,,,5,3,3,3,2,,,,1,SAN FRANCISCO,"94,131",US,1,2,1,1,2,2,1,1,0.55367500000000003
2,2,"1,215",2,12,1,1,1,21,"1,437",49,1,1,8:00 AM,9:25 AM,1,8,,,,,2,10,,,,,,2,2,2,2,6,4,1,4,4,4,4,4,3,3,3,6,4,6,6,6,6,4,,,,4,6,6,4,4,4,,,,5,1,,,2,2,2,2,3,,,,2,3,5,5,2,,,,1,CONCORD,"94,521",US,5,6,1,0,3,2,1,1,0.55367500000000003
3,3,"1,215",2,12,1,1,1,21,"1,437",49,1,1,7:00 AM,9:25 AM,1,8,,,,,2,10,,,,,,2,2,2,2,4,4,1,3,4,4,2,4,4,2,2,3,2,3,4,6,4,0,,,,3,3,3,3,3,3,,,,3,1,,,2,2,2,2,2,,,,5,3,3,3,2,,,,1,SAN FRANCISCO,"94,134",US,1,4,2,2,3,2,2,1,0.55367500000000003
4,4,"1,215",2,12,1,1,1,21,"1,437",49,1,1,7:30 AM,9:25 AM,1,8,,,,,1,10,,,,,1,1,2,1,2,3,4,2,3,3,3,4,4,4,4,4,4,5,4,4,4,3,4,,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,3,5,5,2,,,,1,,,US,90,4,1,2,2,2,2,1,0.55367500000000003
5,5,"1,215",2,12,1,1,1,21,"1,437",49,1,1,6:30 AM,9:25 AM,1,8,,,,,8,10,,,,,,2,1,1,1,2,3,2,3,3,2,3,5,5,6,6,5,5,6,5,6,4,4,162,,,5,5,5,5,5,5,87,,,5,5,,,2,2,2,2,1,1,5,,3,5,4,3,2,,,,3,HUNTINGTON BEACH,"92,646",US,10,3,1,3,1,0,1,1,0.55367500000000003
6,6,"1,215",2,12,1,1,1,21,"1,437",49,1,1,8:00 AM,9:25 AM,2,8,,,,,2,10,,,,,,1,2,2,2,3,4,2,4,3,2,3,3,3,6,6,1,2,3,4,3,6,4,200,,,3,3,6,3,3,3,,,,5,5,,,2,2,2,2,2,1,,,5,3,5,4,2,,,,1,SAN FRANCISCO,"94,118",US,1,5,1,4,2,1,1,1,0.55367500000000003
7,32,"1,204",2,43,1,1,1,18,144,25,1,4,8:25 AM,10:35 AM,6,8,,,,,1,10,,,,,4,1,2,1,2,1,3,1,3,3,6,5,5,5,6,6,6,5,5,6,6,6,4,,,,5,6,6,5,5,5,,,,4,16,,,2,2,2,2,2,,,,2,3,5,5,2,,,,1,RODEO,"94,572",US,5,9,1,1,2,2,1,1,1.2667079999999999
8,33,"1,204",2,43,1,1,1,18,144,25,1,4,9:25 AM,10:35 AM,2,8,,,,,2,10,,,,,,1,2,2,2,3,4,1,5,4,5,4,5,5,4,4,5,5,5,5,5,6,5,71,240,,5,5,6,5,5,5,91,,,5,1,,,2,2,2,2,1,,,,6,5,5,5,2,,,,1,SAN BRUNO,"94,066",US,2,5,2,5,3,2,2,1,1.2667079999999999
9,34,"1,204",2,43,1,1,1,18,144,25,1,4,8:30 AM,10:35 AM,6,8,,,,,1,10,,,,,4,1,2,1,1,1,4,1,5,5,4,5,5,5,6,6,5,5,4,6,6,6,4,,,,5,6,6,5,5,5,,,,4,8,,,1,2,2,2,1,,,,1,4,5,5,2,,,,1,NEWARK,"94,560",US,3,5,1,5,2,2,1,1,1.2667079999999999
10,35,"1,204",2,43,1,1,1,18,144,25,1,4,9:30 AM,10:35 AM,1,8,,,,,2,10,,,,,,1,0,0,0,2,4,2,3,3,3,3,3,5,5,5,5,3,3,3,3,3,4,,,,4,4,4,4,4,4,,,,3,16,,,2,2,2,1,1,,,,8,4,5,5,2,,,,1,VALLEJO,"94,589",US,8,3,2,2,3,0,1,1,1.2667079999999999
11,36,"1,204",2,43,1,1,1,18,144,25,1,4,8:15 AM,10:35 AM,2,8,,,,,10,,,,,,,2,2,1,2,3,4,2,3,3,3,3,3,3,3,3,6,4,6,4,6,6,4,,,,3,3,6,3,3,3,,,,3,1,,,2,2,2,2,2,,,,2,3,5,5,2,,,,1,EL CERRITO,"94,530",US,5,7,2,2,2,2,1,1,1.2667079999999999
12,37,"1,204",2,43,1,1,1,18,144,25,1,4,8:30 AM,10:35 AM,3,8,,,,,1,10,,,,,4,1,1,0,0,3,4,2,4,4,4,4,4,4,6,6,6,4,6,6,4,6,4,,,,3,6,6,3,3,3,,,,4,6,,,2,2,2,2,2,,,,1,3,4,4,2,,,,1,PLEASANTON,"94,566",US,3,6,2,2,2,1,1,1,1.2667079999999999
13,38,"1,204",2,43,1,1,1,18,144,25,1,4,8:45 AM,10:35 AM,3,8,,,,,6,10,,,,,,2,1,2,2,3,3,2,4,3,3,4,4,3,6,6,4,4,6,4,6,6,4,,,,4,4,6,4,4,4,,,,5,,,,1,2,2,2,1,,,,5,4,5,5,2,,,,1,SAN FRANCISCO,"94,117",US,1,3,2,2,2,2,1,1,1.2667079999999999
14,39,"1,204",2,43,1,1,1,18,144,25,1,4,N,10:35 AM,1,8,,,,,6,10,,,,,,1,2,1,2,1,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,4,3,5,2,,,,3,OKLAHOMA CITY,"73,160",US,11,3,1,2,3,2,2,1,1.2667079999999999
15,40,"1,204",2,43,1,1,1,18,144,25,1,4,8:35 AM,10:35 AM,2,3,8,,,,2,10,,,,,,1,0,0,0,1,1,2,4,6,6,5,5,5,6,6,6,3,4,6,6,6,5,129,,,5,6,6,6,6,5,,,,5,1,,,1,2,2,2,2,,,,5,5,5,5,2,,,,2,MODESTO,"95,350",US,10,2,2,2,2,2,2,1,1.2667079999999999
16,41,"1,204",2,43,1,1,1,18,144,25,1,4,7:30 AM,10:35 AM,3,8,,,,,11,10,,,,,,2,1,1,2,3,4,2,3,3,3,4,4,3,6,6,6,4,0,6,6,6,4,,,,5,6,6,5,5,5,,,,5,,,,0,0,0,0,0,,,,4,5,5,5,2,,,,1,NAPA,"94,558",US,9,7,2,0,2,2,1,1,1.2667079999999999
17,42,"1,204",2,43,1,1,1,18,144,25,1,4,10:00 PM,10:35 AM,3,8,,,,,5,10,,,,,,1,2,1,2,1,0,2,2,1,2,3,3,3,4,6,1,6,6,5,6,6,3,209,232,,5,5,6,5,5,5,89,,,3,5,,,2,2,2,2,2,1,,,5,5,4,5,2,,,,3,RINGE,,DENMARK,15,2,1,1,2,2,2,1,1.2667079999999999
18,43,"1,204",2,43,1,1,1,18,144,25,1,4,9:00 AM,10:35 AM,2,8,,,,,3,10,,,,,3,2,2,2,2,2,1,2,5,4,4,5,3,4,4,4,3,4,4,6,3,6,4,274,,,5,6,6,4,4,4,,,,3,35,,,1,2,1,2,2,,,,11,3,5,4,2,,,,1,PETALUMA,"94,954",US,7,3,1,4,2,2,1,1,1.2667079999999999
19,44,"1,204",2,43,1,1,1,18,144,25,1,4,9:00 AM,10:35 AM,9,8,,,,,2,10,,,,,,1,1,2,1,3,4,2,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,,,,5,5,5,5,5,5,,,,5,,,,1,1,3,3,1,,,,8,5,5,5,2,,,,0,,,,99,0,0,0,0,0,0,1,1.2667079999999999
20,53,"1,210",2,98,1,2,1,33,776,50,1,4,2:00 AM,7:47 AM,2,3,8,,,,3,10,,,,,,2,1,1,1,1,2,1,6,4,4,4,4,4,6,6,3,6,6,6,6,6,4,204,5,162,5,6,6,5,5,4,,,,4,5,,,2,2,2,2,1,,,,11,6,5,6,2,,,,3,OTTAWA,,CANADA,13,9,0,3,2,2,2,1,0.59568900000000002
21,54,"1,210",2,98,1,2,1,33,776,50,1,4,5:00 AM,7:47 AM,2,8,,,,,4,10,,,,,,1,1,2,1,1,2,1,3,6,6,4,4,4,6,6,4,6,6,6,6,6,4,,,,4,6,6,6,4,4,,,,3,16,,,2,2,1,2,1,,,,5,5,4,4,2,,,,3,PANAMA CITY,,PANAMA,14,4,1,3,2,2,2,1,0.59568900000000002
22,55,"1,210",2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,1,8,,,,,8,10,,,,,,2,2,2,1,4,4,1,3,3,3,5,5,5,4,4,5,6,6,5,6,5,4,161,,,5,5,5,5,5,5,,,,4,99,,,2,2,2,1,1,,,,5,4,5,5,1,,,,3,BOSTON,"2,360",US,12,6,1,4,2,2,1,1,0.59568900000000002
23,56,"1,210",2,98,1,2,1,33,776,50,1,4,6:45 AM,7:47 AM,1,8,,,,,1,10,,,,,3,2,1,2,1,3,4,1,5,5,5,3,4,3,6,6,3,4,4,6,4,6,4,170,,,4,6,6,5,4,4,,,,5,,,,1,2,2,2,1,,,,6,5,3,3,2,,,,1,DALY CITY,"94,016",US,2,5,2,0,2,2,2,1,0.59568900000000002
24,57,"1,210",2,98,1,2,1,33,776,50,1,4,6:30 AM,7:47 AM,5,8,,,,,6,10,,,,,,2,2,2,2,1,1,2,6,6,6,4,4,4,6,6,6,6,6,6,6,6,4,,,,5,6,6,6,5,5,,,,5,,,,1,2,2,2,2,,,,5,3,5,5,2,,,,3,LITITZ,"17,543",US,12,3,2,2,2,2,2,1,0.59568900000000002
25,58,"1,210",2,98,1,2,1,33,776,50,1,4,6:30 AM,7:47 AM,3,8,,,,,2,10,,,,,,1,1,1,2,3,3,2,4,4,5,4,4,4,4,4,6,4,4,6,6,6,4,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,2,,,,6,4,3,4,2,,,,3,PITTSBURGH,"15,116",US,12,7,2,0,2,2,2,1,0.59568900000000002
26,59,"1,210",2,98,1,2,1,33,776,50,1,4,6:30 AM,7:47 AM,1,8,,,,,2,10,,,,,,2,2,1,1,4,3,2,4,2,2,3,3,3,3,3,5,3,2,4,3,3,3,,,,5,5,5,5,5,5,,,,4,,,,1,2,2,2,1,,,,6,5,5,4,2,,,,1,SAN BRUNO,"94,066",US,2,3,2,2,2,2,1,1,0.59568900000000002
27,60,"1,210",2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,2,8,,,,,2,10,,,,,,1,2,2,2,1,4,2,4,2,2,3,4,3,3,3,3,3,4,6,6,6,4,,,,5,6,6,4,4,5,,,,3,,,,2,2,2,2,2,,,,6,5,5,5,2,,,,1,DALY CITY,"94,014",US,2,3,2,2,3,1,1,1,0.59568900000000002
28,61,"1,210",2,98,1,2,1,33,776,50,1,4,N,7:47 AM,2,8,,,,,2,10,,,,,,1,0,0,0,1,1,2,6,6,0,5,5,5,5,5,5,5,5,6,6,6,6,,,,0,6,6,6,5,5,,,,3,,,,2,2,2,1,2,,,,5,3,3,0,1,,,,0,,,,99,0,0,0,0,0,0,2,0.59568900000000002
29,62,"1,210",2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,1,8,,,,,1,10,,,,,4,2,2,2,1,4,2,2,4,3,3,4,4,3,6,6,4,3,4,4,3,3,4,126,,,4,4,6,4,4,4,,,,5,5,,,1,2,2,2,1,4,,,7,3,3,3,1,24,,,1,CUPERTINO,"95,814",US,4,4,1,3,1,2,2,4,0.59568900000000002
30,16,"1,202",2,25,1,2,1,6,"1,023",86,1,2,5:30 AM,7:31 AM,2,8,,,,,5,10,,,,,,1,2,1,1,1,1,1,5,3,5,5,5,5,4,5,5,4,4,5,0,5,5,2,,,5,5,6,5,5,5,,,,5,2,,,2,2,2,2,1,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,115",US,1,3,2,1,1,2,2,1,0.89216700000000004
31,17,"1,202",2,25,1,2,1,6,"1,023",86,1,2,6:31 AM,7:31 AM,1,8,,,,,2,10,,,,,,2,2,2,2,4,4,1,6,3,3,4,4,4,6,6,5,4,3,4,6,6,5,,,,5,4,6,4,4,4,,,,5,5,,,2,2,2,1,1,1,,,6,5,5,4,2,,,,1,PACIFICA,"94,044",US,2,6,1,4,2,2,1,1,0.89216700000000004
32,18,"1,202",2,25,1,2,1,6,"1,023",86,1,2,6:00 AM,7:31 AM,1,8,,,,,4,10,,,,,,2,1,1,1,3,1,1,4,3,4,4,5,5,6,6,6,4,3,4,6,6,4,,,,5,4,6,4,3,4,,,,5,1,,,2,2,2,2,2,,,,5,3,5,4,2,,,,1,SAN FRANCISCO,"94,113",US,1,3,2,2,2,2,1,1,0.89216700000000004
33,19,"1,202",2,25,1,2,1,6,"1,023",86,1,2,5:00 AM,7:31 AM,2,3,8,,,,1,10,,,,,3,1,0,0,0,2,2,1,4,5,4,4,5,3,4,4,5,5,5,4,5,4,5,219,,,5,5,5,5,5,5,,,,4,98,,,2,2,2,2,2,,,,15,5,4,5,2,,,,2,MODESTO,"95,355",US,10,3,1,1,2,2,2,1,0.89216700000000004
34,20,"1,202",2,25,1,2,1,6,"1,023",86,1,2,5:00 AM,7:31 AM,3,8,,,,,1,10,,,,,3,1,2,2,2,2,3,2,3,3,3,4,3,3,6,6,6,5,5,6,5,6,3,,,,4,6,6,3,3,3,,,,4,,,,2,2,2,2,2,,,,15,4,4,3,2,,,,2,MODESTO,"95,355",US,10,6,2,2,2,2,2,1,0.89216700000000004
404,306,"2,202",12,5,2,3,1,14,590,90,8,4,10:00 AM,12:00 PM,2,8,,,,,7,10,,,,,,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,20,104,222,4,4,4,0,4,4,,,,5,,,,3,3,3,3,3,,,,12,6,2,4,2,,,,0,,,,99,4,1,1,1,2,2,4,0.55367500000000003
35,21,"1,202",2,25,1,2,1,6,"1,023",86,1,2,5:30 AM,7:31 AM,2,8,,,,,4,10,,,,,,1,2,1,1,4,2,2,4,3,3,3,4,4,4,4,2,3,3,4,3,6,4,176,,,4,4,6,4,3,4,,,,5,6,,,2,2,2,2,1,2,,,6,3,5,4,2,,,,1,DALY CITY,"94,015",US,2,4,1,3,2,2,2,1,0.89216700000000004
36,22,"1,202",2,25,1,2,1,6,"1,023",86,1,2,6:30 AM,7:31 AM,1,8,,,,,4,10,,,,,,2,2,1,2,4,1,2,4,3,3,4,3,4,3,3,3,4,4,4,6,6,3,2,,,4,4,4,4,4,4,,,,4,,,,2,2,1,2,2,,,,5,5,4,5,2,,,,1,SAN FRANCISCO,"94,118",US,1,3,1,4,2,2,1,1,0.89216700000000004
37,23,"1,202",2,25,1,2,1,6,"1,023",86,1,2,6:30 AM,7:31 AM,1,8,,,,,4,10,,,,,,2,2,1,2,4,4,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2,,,4,4,4,4,3,4,,,,4,,,,2,2,2,2,1,,,,5,5,4,4,2,,,,1,SAN FRANCISCO,"94,118",US,1,3,2,4,2,2,1,1,0.89216700000000004
38,24,"1,202",2,25,1,2,1,6,"1,023",86,1,2,5:40 AM,7:31 AM,6,8,,,,,1,10,,,,,3,2,2,2,2,3,1,2,3,2,3,4,3,4,6,6,6,3,2,6,2,6,4,,,,5,6,6,6,3,4,,,,4,,,,2,2,2,2,2,,,,5,5,3,4,2,,,,1,SAN FRANCISCO,"94,122",US,1,3,1,0,2,2,2,1,0.89216700000000004
39,25,"1,202",2,25,1,2,1,6,"1,023",86,1,2,6:00 AM,7:31 AM,2,8,,,,,1,10,,,,,1,1,0,0,0,3,4,2,3,2,2,3,3,2,3,3,3,3,3,4,3,3,3,,,,4,4,4,4,4,4,,,,4,,,,2,2,2,2,2,,,,1,0,3,3,2,,,,1,,,US,90,4,1,3,1,1,1,1,0.89216700000000004
40,26,"1,202",2,25,1,2,1,6,"1,023",86,1,2,4:00 AM,7:31 AM,6,8,,,,,2,10,,,,,,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,0,0,0,0,5,,,,0,,,,0,0,0,0,0,,,,12,3,3,0,2,,,,2,GALT,"95,632",US,10,5,2,0,3,2,2,2,0.89216700000000004
41,7,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:30 AM,6:00 AM,1,8,,,,,7,10,,,,,,1,2,1,1,4,4,1,4,4,4,4,5,2,6,0,5,4,4,6,4,6,3,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,6,3,3,3,2,,,,1,REDWOOD CITY,"94,061",US,2,5,1,4,2,2,1,1,0.89216700000000004
42,8,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:35 AM,6:00 AM,4,8,,,,,1,10,,,,,0,1,2,2,2,4,4,1,6,4,6,5,5,5,4,4,6,5,5,5,6,6,4,900,,,4,4,6,4,4,4,,,,5,96,,,1,2,2,2,3,,,,7,5,5,5,2,,,,1,SANTA CLARA,"94,045",US,4,6,2,3,1,1,1,1,0.89216700000000004
43,9,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:30 AM,6:00 AM,1,8,,,,,4,10,,,,,,2,2,2,2,3,3,1,6,3,3,4,3,4,6,6,4,6,6,6,6,6,3,264,,,3,6,6,4,4,3,,,,4,1,,,2,2,0,2,1,,,,5,5,5,5,2,,,,3,ST LOUIS,"63,051",US,11,6,2,4,1,1,1,1,0.89216700000000004
44,10,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:45 AM,6:00 AM,2,8,,,,,2,10,,,,,,2,2,2,2,3,4,1,5,4,4,5,4,5,6,6,6,5,6,6,6,6,4,900,,,5,6,6,5,5,5,,,,5,1,,,1,2,2,2,2,,,,7,5,5,3,2,,,,1,PALO ALTO,"94,303",US,4,6,2,5,2,1,2,1,0.89216700000000004
45,11,"1,201",2,25,1,2,1,29,"1,201",50,1,4,8:00 PM,6:00 AM,2,8,,,,,3,10,,,,,,2,1,1,1,3,1,1,4,3,3,5,5,5,6,6,4,6,6,6,6,6,4,,,,5,5,6,6,5,5,,,,4,1,,,2,2,2,2,1,,,,11,5,5,5,2,,,,3,SANDY,"84,093",US,10,3,1,2,2,2,2,1,0.89216700000000004
46,12,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:00 AM,6:00 AM,2,8,,,,,8,10,,,,,,2,2,2,2,1,4,1,6,3,6,0,5,5,6,6,6,6,6,5,6,0,4,80,,,5,5,5,6,4,5,,,,4,3,,,2,2,2,2,2,,,,9,3,4,5,2,,,,3,FLAT ROCK,"28,731",US,12,7,2,0,2,2,2,1,0.89216700000000004
47,13,"1,201",2,25,1,2,1,29,"1,201",50,1,4,5:00 AM,6:00 AM,1,8,,,,,7,10,,,,,,2,1,1,2,1,4,1,6,3,4,4,6,2,6,6,6,6,6,6,6,6,4,,,,4,6,6,4,6,4,,,,5,5,,,2,2,2,2,2,,,,5,4,5,5,2,,,,3,GODFREY,"62,035",US,11,4,2,5,1,1,1,1,0.89216700000000004
48,14,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:30 AM,6:00 AM,1,8,,,,,7,10,,,,,,2,1,2,2,2,1,2,6,6,4,4,4,4,6,6,6,6,6,6,6,6,4,,,,4,4,6,3,3,4,,,,5,,,,2,2,2,2,2,,,,5,5,5,2,2,,,,3,ST LOUIS,"63,104",US,11,3,2,3,2,2,1,1,0.89216700000000004
49,15,"1,201",2,25,1,2,1,29,"1,201",50,1,4,4:30 AM,6:00 AM,4,8,,,,,2,10,,,,,,0,0,2,0,4,4,2,3,5,3,4,4,4,6,6,4,5,6,6,6,6,4,161,,,4,6,6,4,4,4,,,,4,,,,3,3,3,3,1,1,,,7,4,5,3,2,,,,1,CUPERTINO,"95,014",US,4,2,2,4,3,1,0,1,0.89216700000000004
50,45,"1,209",2,89,1,2,1,33,"1,571",11,2,3,10:00 PM,6:00 AM,3,8,,,,,3,10,,,,,,1,2,1,1,3,4,1,5,3,3,4,5,4,5,5,5,6,6,5,6,6,5,203,,,5,5,5,5,5,5,,,,5,1,,,2,2,1,2,1,4,,,11,0,5,5,2,,,,3,BOSTON,"2,108",US,12,6,1,2,2,1,1,1,1.8708309999999999
51,46,"1,209",2,89,1,2,1,33,"1,571",11,2,3,4:30 AM,6:00 AM,4,8,,,,,3,10,,,,,,2,2,2,1,1,4,1,5,4,4,4,5,5,6,6,5,6,6,5,6,6,0,90,,,5,4,6,5,5,5,,,,5,,,,2,2,1,2,1,,,,11,6,5,2,2,,,,3,HONOLULU,"96,818",US,10,4,1,2,2,2,2,1,1.8708309999999999
52,47,"1,209",2,89,1,2,1,33,"1,571",11,2,3,4:30 AM,6:00 AM,5,8,,,,,6,10,,,,,,2,2,2,2,1,1,1,5,6,2,4,4,6,6,0,6,6,6,6,6,6,4,,,,5,5,5,5,5,5,,,,5,32,,,2,2,2,2,2,,,,7,3,5,4,2,,,,1,SANTA CLARA,"95,054",US,4,3,1,3,2,1,2,1,1.8708309999999999
53,48,"1,209",2,89,1,2,1,33,"1,571",11,2,3,4:50 AM,6:00 AM,6,8,,,,,2,10,,,,,,2,2,1,2,1,4,1,5,3,3,4,4,4,6,6,6,6,6,6,6,6,5,5,22,,4,6,6,3,3,3,,,,5,,,,2,2,2,2,2,,,,6,5,5,5,2,,,,1,PACIFICA,"94,044",US,2,5,2,0,2,2,2,1,1.8708309999999999
54,49,"1,209",2,89,1,2,1,33,"1,571",11,2,3,4:45 AM,6:00 AM,1,8,,,,,2,10,,,,,,2,1,2,2,3,4,1,4,4,4,4,4,5,3,3,6,6,6,6,6,6,4,,,,4,4,4,4,4,4,,,,5,5,,,2,2,2,2,2,,,,2,5,5,5,2,,,,3,EASTHAM,"2,642",US,12,4,2,3,2,2,1,1,1.8708309999999999
55,50,"1,209",2,89,1,2,1,33,"1,571",11,2,3,1:00 AM,6:00 AM,2,3,8,,,,5,10,,,,,,2,2,1,1,5,2,1,6,3,4,5,4,4,6,6,5,6,6,5,6,6,4,5,226,,5,5,6,5,4,5,,,,5,1,,,2,2,2,2,1,,,,5,3,5,5,2,,,,1,SAN FRANCISCO,"94,110",US,1,2,1,3,1,2,2,1,1.8708309999999999
56,51,"1,209",2,89,1,2,1,33,"1,571",11,2,3,4:30 AM,6:00 AM,1,8,,,,,8,10,,,,,,2,2,1,2,4,4,1,3,3,3,3,3,3,3,3,3,4,6,3,6,3,3,8,,,3,3,3,3,3,3,,,,3,20,,,2,2,2,2,1,,,,5,5,5,5,2,,,,3,SANDWICH,"2,537",US,12,5,1,4,1,1,2,1,1.8708309999999999
57,52,"1,209",2,89,1,2,1,33,"1,571",11,2,3,4:45 AM,6:00 AM,5,8,,,,,7,10,,,,,,2,2,1,2,1,4,2,3,3,3,4,4,4,6,6,4,4,6,5,6,6,4,,,,5,6,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,6,5,4,5,2,,,,3,CAMBRIDGE,"2,130",US,12,4,1,4,2,2,2,1,1.8708309999999999
58,63,"1,210",2,98,1,2,1,33,776,50,1,4,6:00 AM,7:47 AM,2,8,,,,,5,10,,,,,,2,2,2,2,2,4,1,5,6,6,3,5,5,6,5,5,6,6,5,6,6,4,163,204,,5,5,5,5,5,5,,,,5,27,1,,2,2,2,2,1,1,,,5,5,3,4,1,,,,3,MIDLAND,"48,642",US,11,3,2,1,2,2,2,1,0.59568900000000002
59,64,"1,210",2,98,1,2,1,33,776,50,1,4,6:50 AM,7:47 AM,1,8,,,,,1,10,,,,,1,1,2,1,2,2,3,2,5,3,3,3,3,4,3,3,1,3,3,4,4,4,4,,,,3,3,3,3,3,3,,,,5,,,,2,2,2,2,2,,,,5,4,4,5,2,,,,1,SAN FRANCISCO,"94,103",US,1,5,1,2,2,2,2,1,0.59568900000000002
60,75,"1,212",2,84,1,1,1,33,300,38,1,2,7:30 AM,10:30 AM,2,8,,,,,3,10,,,,,,2,2,1,1,0,0,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,1,,,2,2,2,2,1,6,,,11,5,5,6,2,,,,3,HONOLULU,"96,707",US,10,6,2,1,2,1,1,1,1.8708309999999999
61,76,"1,212",2,84,1,1,1,33,300,38,1,2,9:00 AM,10:30 AM,2,8,,,,,4,10,,,,,,1,2,2,2,2,4,1,6,6,6,5,5,6,0,6,6,6,6,6,6,6,4,,,,5,6,6,6,5,5,,,,4,99,,,2,2,2,2,2,1,,,3,5,5,3,1,26,,,1,GREENBRAE,"94,904",US,6,7,2,3,2,2,2,1,1.8708309999999999
62,77,"1,212",2,84,1,1,1,33,300,38,1,2,8:00 AM,10:30 AM,1,8,,,,,3,10,,,,,,2,1,1,2,2,1,1,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,234,,,4,6,6,5,4,4,,,,5,30,,,2,2,2,1,2,8,,,11,5,5,6,2,,,,3,TEMECULA,"92,592",US,10,6,1,3,2,2,1,1,1.8708309999999999
63,78,"1,212",2,84,1,1,1,33,300,38,1,2,7:50 AM,10:30 AM,2,8,,,,,3,10,,,,,,2,1,1,2,3,2,1,4,3,6,5,5,5,5,5,6,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,0,,,,0,0,0,0,0,,,,11,5,5,6,2,,,,3,HONOLULU,"96,706",US,10,6,1,0,2,2,2,1,1.8708309999999999
80,74,"1,211",2,68,1,1,1,33,864,39,3,4,6:30 AM,9:01 AM,2,8,,,,,5,10,,,,,,1,1,1,1,1,3,2,5,5,5,5,5,5,5,5,5,4,6,4,6,6,4,,,,4,4,6,6,4,4,,,,4,,,,2,2,2,2,1,,,,7,4,5,5,2,,,,1,,,US,90,0,0,0,0,0,0,1,1.8708309999999999
64,79,"1,212",2,84,1,1,1,33,300,38,1,2,9:00 AM,10:30 AM,2,8,,,,,3,10,,,,,,2,1,1,2,1,4,1,3,4,4,3,3,4,6,6,6,6,6,5,6,6,4,,,,4,4,6,4,4,4,,,,5,5,,,2,2,2,2,2,,,,11,4,5,6,2,,,,2,WOODLAND,"96,950",US,10,6,2,4,2,2,2,1,1.8708309999999999
